Vermelho(R): 523   Verde(G): 643   Azul(B): 580   Brilho(C): 1753
Vermelho(R): 553   Verde(G): 696   Azul(B): 649   Brilho(C): 1935
Vermelho(R): 558   Verde(G): 708   Azul(B): 665   Brilho(C): 1973
Vermelho(R): 558   Verde(G): 708   Azul(B): 664   Brilho(C): 1974
Vermelho(R): 559   Verde(G): 708   Azul(B): 664   Brilho(C): 1975
Vermelho(R): 559   Verde(G): 709   Azul(B): 666   Brilho(C): 1978
Vermelho(R): 559   Verde(G): 710   Azul(B): 666   Brilho(C): 1979
Vermelho(R): 559   Verde(G): 709   Azul(B): 666   Brilho(C): 1979
Vermelho(R): 559   Verde(G): 708   Azul(B): 665   Brilho(C): 1976
Vermelho(R): 559   Verde(G): 709   Azul(B): 665   Brilho(C): 1977
Vermelho(R): 559   Verde(G): 710   Azul(B): 667   Brilho(C): 1980
Vermelho(R): 560   Verde(G): 713   Azul(B): 670   Brilho(C): 1986
Vermelho(R): 561   Verde(G): 714   Azul(B): 670   Brilho(C): 1987
Vermelho(R): 560   Verde(G): 713   Azul(B): 670   Brilho(C): 1984
Vermelho(R): 518   Verde(G): 635   Azul(B): 569   Brilho(C): 1727
Vermelho(R): 528   Verde(G): 652   Azul(B): 593   Brilho(C): 1791
Vermelho(R): 520   Verde(G): 637   Azul(B): 574   Brilho(C): 1741
Vermelho(R): 514   Verde(G): 624   Azul(B): 561   Brilho(C): 1711
Vermelho(R): 519   Verde(G): 639   Azul(B): 573   Brilho(C): 1734
Vermelho(R): 559   Verde(G): 712   Azul(B): 669   Brilho(C): 1981
Vermelho(R): 561   Verde(G): 716   Azul(B): 673   Brilho(C): 1993
Vermelho(R): 562   Verde(G): 718   Azul(B): 675   Brilho(C): 1998
Vermelho(R): 563   Verde(G): 719   Azul(B): 676   Brilho(C): 2000
Vermelho(R): 562   Verde(G): 718   Azul(B): 675   Brilho(C): 1998
Vermelho(R): 562   Verde(G): 718   Azul(B): 675   Brilho(C): 1998
Vermelho(R): 562   Verde(G): 718   Azul(B): 674   Brilho(C): 1997
Vermelho(R): 560   Verde(G): 712   Azul(B): 669   Brilho(C): 1983
Vermelho(R): 553   Verde(G): 697   Azul(B): 654   Brilho(C): 1945
Vermelho(R): 614   Verde(G): 830   Azul(B): 742   Brilho(C): 2258
Vermelho(R): 646   Verde(G): 881   Azul(B): 768   Brilho(C): 2375
Vermelho(R): 673   Verde(G): 901   Azul(B): 780   Brilho(C): 2456
