Vermelho(R): 447   Verde(G): 419   Azul(B): 342   Brilho(C): 1188
Vermelho(R): 448   Verde(G): 421   Azul(B): 344   Brilho(C): 1194
Vermelho(R): 446   Verde(G): 424   Azul(B): 347   Brilho(C): 1198
Vermelho(R): 447   Verde(G): 425   Azul(B): 348   Brilho(C): 1201
Vermelho(R): 447   Verde(G): 424   Azul(B): 347   Brilho(C): 1199
Vermelho(R): 447   Verde(G): 424   Azul(B): 347   Brilho(C): 1198
Vermelho(R): 446   Verde(G): 423   Azul(B): 346   Brilho(C): 1195
Vermelho(R): 445   Verde(G): 421   Azul(B): 344   Brilho(C): 1190
Vermelho(R): 446   Verde(G): 423   Azul(B): 346   Brilho(C): 1196
Vermelho(R): 447   Verde(G): 424   Azul(B): 346   Brilho(C): 1197
Vermelho(R): 447   Verde(G): 424   Azul(B): 347   Brilho(C): 1197
Vermelho(R): 447   Verde(G): 424   Azul(B): 347   Brilho(C): 1197
Vermelho(R): 447   Verde(G): 424   Azul(B): 346   Brilho(C): 1197
Vermelho(R): 447   Verde(G): 424   Azul(B): 346   Brilho(C): 1197
Vermelho(R): 447   Verde(G): 423   Azul(B): 346   Brilho(C): 1196
Vermelho(R): 447   Verde(G): 423   Azul(B): 346   Brilho(C): 1196
Vermelho(R): 447   Verde(G): 423   Azul(B): 346   Brilho(C): 1197
Vermelho(R): 447   Verde(G): 423   Azul(B): 346   Brilho(C): 1196
Vermelho(R): 445   Verde(G): 421   Azul(B): 344   Brilho(C): 1190
Vermelho(R): 447   Verde(G): 424   Azul(B): 347   Brilho(C): 1197
Vermelho(R): 449   Verde(G): 428   Azul(B): 351   Brilho(C): 1208
Vermelho(R): 446   Verde(G): 421   Azul(B): 344   Brilho(C): 1191
Vermelho(R): 447   Verde(G): 424   Azul(B): 347   Brilho(C): 1199
Vermelho(R): 447   Verde(G): 424   Azul(B): 348   Brilho(C): 1200
Vermelho(R): 448   Verde(G): 425   Azul(B): 348   Brilho(C): 1202
Vermelho(R): 446   Verde(G): 422   Azul(B): 346   Brilho(C): 1195
Vermelho(R): 446   Verde(G): 422   Azul(B): 345   Brilho(C): 1193
Vermelho(R): 447   Verde(G): 423   Azul(B): 346   Brilho(C): 1196
Vermelho(R): 444   Verde(G): 418   Azul(B): 341   Brilho(C): 1182
Vermelho(R): 437   Verde(G): 402   Azul(B): 325   Brilho(C): 1141
Vermelho(R): 458   Verde(G): 507   Azul(B): 407   Brilho(C): 1392
