Vermelho(R): 809   Verde(G): 856   Azul(B): 722   Brilho(C): 2438
Vermelho(R): 808   Verde(G): 855   Azul(B): 722   Brilho(C): 2437
Vermelho(R): 808   Verde(G): 854   Azul(B): 721   Brilho(C): 2434
Vermelho(R): 808   Verde(G): 854   Azul(B): 721   Brilho(C): 2434
Vermelho(R): 808   Verde(G): 855   Azul(B): 721   Brilho(C): 2436
Vermelho(R): 807   Verde(G): 853   Azul(B): 720   Brilho(C): 2432
Vermelho(R): 808   Verde(G): 855   Azul(B): 722   Brilho(C): 2436
Vermelho(R): 808   Verde(G): 855   Azul(B): 722   Brilho(C): 2437
Vermelho(R): 808   Verde(G): 855   Azul(B): 721   Brilho(C): 2436
Vermelho(R): 807   Verde(G): 853   Azul(B): 720   Brilho(C): 2431
Vermelho(R): 807   Verde(G): 853   Azul(B): 719   Brilho(C): 2430
Vermelho(R): 808   Verde(G): 854   Azul(B): 720   Brilho(C): 2433
Vermelho(R): 808   Verde(G): 854   Azul(B): 720   Brilho(C): 2433
Vermelho(R): 807   Verde(G): 852   Azul(B): 719   Brilho(C): 2428
Vermelho(R): 806   Verde(G): 850   Azul(B): 717   Brilho(C): 2424
Vermelho(R): 808   Verde(G): 854   Azul(B): 720   Brilho(C): 2433
Vermelho(R): 808   Verde(G): 855   Azul(B): 721   Brilho(C): 2435
Vermelho(R): 796   Verde(G): 827   Azul(B): 695   Brilho(C): 2361
Vermelho(R): 790   Verde(G): 813   Azul(B): 681   Brilho(C): 2323
Vermelho(R): 779   Verde(G): 788   Azul(B): 658   Brilho(C): 2257
Vermelho(R): 780   Verde(G): 790   Azul(B): 659   Brilho(C): 2262
Vermelho(R): 792   Verde(G): 819   Azul(B): 687   Brilho(C): 2340
Vermelho(R): 808   Verde(G): 855   Azul(B): 722   Brilho(C): 2436
Vermelho(R): 808   Verde(G): 854   Azul(B): 721   Brilho(C): 2435
Vermelho(R): 807   Verde(G): 852   Azul(B): 718   Brilho(C): 2428
Vermelho(R): 806   Verde(G): 849   Azul(B): 716   Brilho(C): 2420
Vermelho(R): 806   Verde(G): 849   Azul(B): 716   Brilho(C): 2421
Vermelho(R): 807   Verde(G): 853   Azul(B): 720   Brilho(C): 2432
Vermelho(R): 800   Verde(G): 837   Azul(B): 704   Brilho(C): 2389
Vermelho(R): 797   Verde(G): 829   Azul(B): 696   Brilho(C): 2367
Vermelho(R): 777   Verde(G): 788   Azul(B): 659   Brilho(C): 2261
